# 16/01/2020 06:03:07 PM : Hour Values - EPEX Spot Intraday Trading - France
Delivery day,Hour from,Hour to,Volume Buy (MW),Volume Sell (MW),Low Price (EUR/MWh),High Price (EUR/MWh),Last Price (EUR/MWh),Time Stamp of Last Price,Index Price,ID3-Price,Weighted Average Price
31/12/2019,24hh2,24hh2,0.0,0.0,0.00,0.00,0.00,,33.30,33.30,0.00
31/12/2019,24hh1,24hh1,0.0,0.0,0.00,0.00,0.00,,42.00,42.00,0.00
31/12/2019,24,24,1295.7,844.9,35.00,42.00,35.00,30/12/2019 22:05:00,37.65,37.82,37.65
31/12/2019,23hh2,23hh2,56.0,50.0,33.90,37.20,33.90,31/12/2019 02:19:00,34.25,34.25,34.25
31/12/2019,23hh1,23hh1,0.0,0.0,0.00,0.00,0.00,,40.89,40.89,0.00
31/12/2019,23,23,1309.8,915.3,33.90,40.50,36.00,30/12/2019 23:51:00,37.57,36.35,37.57
31/12/2019,22hh2,22hh2,0.0,0.0,0.00,0.00,0.00,,38.33,38.33,0.00
31/12/2019,22hh1,22hh1,50.1,19.1,34.70,34.70,34.70,31/12/2019 19:36:00,34.70,34.70,34.70
31/12/2019,22,22,828.0,703.4,32.30,40.70,36.98,30/12/2019 22:05:00,38.04,36.24,38.04
31/12/2019,21hh2,21hh2,0.0,0.0,0.00,0.00,0.00,,39.11,39.11,0.00
31/12/2019,21hh1,21hh1,0.0,0.0,0.00,0.00,0.00,,37.20,37.20,0.00
31/12/2019,21,21,1448.6,825.7,33.60,44.50,37.42,30/12/2019 22:04:00,41.34,39.63,41.34
31/12/2019,20hh2,20hh2,30.0,1.4,44.00,46.00,46.00,31/12/2019 01:48:00,44.09,46.00,44.09
31/12/2019,20hh1,20hh1,0.0,0.0,0.00,0.00,0.00,,47.51,47.51,0.00
31/12/2019,20,20,967.3,1005.2,41.00,48.00,41.00,30/12/2019 22:04:00,45.80,45.82,45.80
31/12/2019,19hh2,19hh2,0.0,0.0,0.00,0.00,0.00,,39.09,39.09,0.00
31/12/2019,19hh1,19hh1,0.0,0.0,0.00,0.00,0.00,,50.50,50.50,0.00
31/12/2019,19,19,701.4,546.3,42.70,49.70,42.70,30/12/2019 22:04:00,47.20,47.33,47.20
31/12/2019,18hh2,18hh2,2.1,2.1,41.10,41.10,41.10,31/12/2019 07:59:00,41.10,41.10,41.10
31/12/2019,18hh1,18hh1,0.0,0.0,0.00,0.00,0.00,,48.72,48.72,0.00
31/12/2019,18,18,1191.6,759.0,43.10,54.00,54.00,30/12/2019 22:03:00,45.45,44.91,45.45
31/12/2019,17hh2,17hh2,0.0,0.0,0.00,0.00,0.00,,44.15,44.15,0.00
31/12/2019,17hh1,17hh1,0.0,0.0,0.00,0.00,0.00,,40.57,40.57,0.00
31/12/2019,17,17,1240.9,750.9,40.30,44.30,40.32,30/12/2019 22:05:00,42.36,42.66,42.36
31/12/2019,16hh2,16hh2,0.9,33.9,41.00,41.00,41.00,31/12/2019 08:44:00,41.00,41.00,41.00
31/12/2019,16hh1,16hh1,0.0,0.0,0.00,0.00,0.00,,34.60,34.60,0.00
31/12/2019,16,16,875.2,956.1,36.60,42.00,41.08,30/12/2019 22:01:00,39.69,40.29,39.69
31/12/2019,15hh2,15hh2,1.0,17.3,39.30,43.00,43.00,31/12/2019 11:32:00,42.79,42.79,42.79
31/12/2019,15hh1,15hh1,0.6,0.6,33.00,33.00,33.00,31/12/2019 13:29:00,33.00,33.00,33.00
31/12/2019,15,15,754.7,785.5,35.40,41.40,41.00,30/12/2019 22:01:00,38.48,38.06,38.48
31/12/2019,14hh2,14hh2,0.0,0.0,0.00,0.00,0.00,,40.62,40.62,0.00
31/12/2019,14hh1,14hh1,0.4,0.4,32.90,42.90,32.90,31/12/2019 12:29:00,35.40,35.40,35.40
31/12/2019,14,14,1055.5,753.3,36.00,42.00,37.00,30/12/2019 22:34:00,38.86,38.50,38.86
31/12/2019,13hh2,13hh2,0.0,0.0,0.00,0.00,0.00,,39.35,39.35,0.00
31/12/2019,13hh1,13hh1,0.2,41.5,41.60,43.60,43.60,31/12/2019 01:17:00,43.29,43.60,43.29
31/12/2019,13,13,1474.9,1177.7,36.10,45.00,39.81,30/12/2019 22:01:00,41.32,41.95,41.32
31/12/2019,12hh2,12hh2,0.0,0.0,0.00,0.00,0.00,,38.40,38.40,0.00
31/12/2019,12hh1,12hh1,0.0,0.0,0.00,0.00,0.00,,42.74,42.74,0.00
31/12/2019,12,12,1313.0,1140.6,35.20,45.00,40.00,30/12/2019 22:07:00,41.06,41.17,41.06
31/12/2019,11hh2,11hh2,0.0,0.0,0.00,0.00,0.00,,38.96,38.96,0.00
31/12/2019,11hh1,11hh1,0.0,0.0,0.00,0.00,0.00,,42.14,42.14,0.00
31/12/2019,11,11,718.7,443.0,36.10,50.00,42.40,30/12/2019 21:05:00,40.55,40.39,40.55
31/12/2019,10hh2,10hh2,0.0,0.0,0.00,0.00,0.00,,40.75,40.75,0.00
31/12/2019,10hh1,10hh1,0.0,0.0,0.00,0.00,0.00,,46.49,46.49,0.00
31/12/2019,10,10,595.3,1182.7,40.80,49.80,49.52,30/12/2019 22:11:00,43.62,43.47,43.62
31/12/2019,9hh2,9hh2,25.5,49.6,40.20,47.30,40.20,31/12/2019 00:19:00,43.93,43.93,43.93
31/12/2019,9hh1,9hh1,0.0,0.0,0.00,0.00,0.00,,39.60,39.60,0.00
31/12/2019,9,9,941.6,638.6,33.00,43.80,40.89,30/12/2019 22:06:00,41.17,41.09,41.17
31/12/2019,8hh2,8hh2,0.0,0.0,0.00,0.00,0.00,,38.80,38.80,0.00
31/12/2019,8hh1,8hh1,0.0,0.0,0.00,0.00,0.00,,38.80,38.80,0.00
31/12/2019,8,8,1301.5,628.4,35.00,42.00,39.04,30/12/2019 22:47:00,38.80,39.32,38.80
31/12/2019,7hh2,7hh2,0.0,0.0,0.00,0.00,0.00,,34.02,34.02,0.00
31/12/2019,7hh1,7hh1,0.0,0.0,0.00,0.00,0.00,,34.02,34.02,0.00
31/12/2019,7,7,624.8,441.0,29.80,35.00,34.90,30/12/2019 22:03:00,34.02,34.21,34.02
31/12/2019,6hh2,6hh2,3.0,10.2,29.50,34.90,29.50,31/12/2019 01:54:00,33.67,29.50,33.67
31/12/2019,6hh1,6hh1,0.0,0.0,0.00,0.00,0.00,,34.97,34.97,0.00
31/12/2019,6,6,462.4,114.5,24.10,38.20,38.22,30/12/2019 21:05:00,34.32,34.68,34.32
31/12/2019,5hh2,5hh2,0.0,0.0,0.00,0.00,0.00,,33.60,33.60,0.00
31/12/2019,5hh1,5hh1,0.0,0.0,0.00,0.00,0.00,,29.42,29.42,0.00
31/12/2019,5,5,356.9,90.4,22.10,33.20,33.22,30/12/2019 21:24:00,31.51,32.25,31.51
31/12/2019,4hh2,4hh2,0.0,0.0,0.00,0.00,0.00,,29.94,29.94,0.00
31/12/2019,4hh1,4hh1,0.0,0.0,0.00,0.00,0.00,,29.94,29.94,0.00
31/12/2019,4,4,259.2,272.8,25.20,32.50,29.89,30/12/2019 21:23:00,29.94,29.95,29.94
31/12/2019,3hh2,3hh2,0.0,0.0,0.00,0.00,0.00,,33.08,33.08,0.00
31/12/2019,3hh1,3hh1,0.0,0.0,0.00,0.00,0.00,,33.08,33.08,0.00
31/12/2019,3,3,124.9,170.9,30.00,38.70,38.65,30/12/2019 22:20:00,33.08,33.08,33.08
31/12/2019,2hh2,2hh2,0.0,0.0,0.00,0.00,0.00,,35.20,35.20,0.00
31/12/2019,2hh1,2hh1,0.0,0.0,0.00,0.00,0.00,,35.20,35.20,0.00
31/12/2019,2,2,386.1,126.9,32.00,39.60,35.53,30/12/2019 21:05:00,35.20,35.31,35.20
31/12/2019,1hh2,1hh2,0.0,0.0,0.00,0.00,0.00,,34.85,34.85,0.00
31/12/2019,1hh1,1hh1,0.0,0.0,0.00,0.00,0.00,,34.85,34.85,0.00
31/12/2019,1,1,634.6,415.5,32.60,42.60,42.55,30/12/2019 20:26:00,34.85,35.23,34.85
30/12/2019,24hh2,24hh2,0.0,0.0,0.00,0.00,0.00,,39.44,39.44,0.00
30/12/2019,24hh1,24hh1,0.0,0.0,0.00,0.00,0.00,,39.44,39.44,0.00
30/12/2019,24,24,1268.1,913.0,32.70,42.30,39.79,29/12/2019 21:05:00,39.44,38.58,39.44
30/12/2019,23hh2,23hh2,0.0,0.0,0.00,0.00,0.00,,38.79,38.79,0.00
30/12/2019,23hh1,23hh1,0.0,0.0,0.00,0.00,0.00,,38.79,38.79,0.00
30/12/2019,23,23,837.4,835.2,34.50,42.00,37.99,30/12/2019 09:34:00,38.79,39.44,38.79
30/12/2019,22hh2,22hh2,10.3,10.3,41.80,41.80,41.80,30/12/2019 19:54:00,41.80,41.80,41.80
30/12/2019,22hh1,22hh1,0.0,0.0,0.00,0.00,0.00,,31.80,31.80,0.00
30/12/2019,22,22,1280.7,1186.3,31.00,42.80,41.99,29/12/2019 22:02:00,38.85,37.85,38.85
30/12/2019,21hh2,21hh2,0.0,0.0,0.00,0.00,0.00,,41.81,41.81,0.00
30/12/2019,21hh1,21hh1,0.0,0.0,0.00,0.00,0.00,,41.81,41.81,0.00
30/12/2019,21,21,1197.7,1197.7,38.10,44.90,44.00,30/12/2019 10:09:00,41.81,41.26,41.81
30/12/2019,20hh2,20hh2,0.0,0.0,0.00,0.00,0.00,,40.94,40.94,0.00
30/12/2019,20hh1,20hh1,0.7,0.7,50.50,50.50,50.50,30/12/2019 14:28:00,50.50,50.50,50.50
30/12/2019,20,20,1578.0,1494.9,37.50,47.80,37.50,29/12/2019 22:02:00,45.72,45.32,45.72
30/12/2019,19hh2,19hh2,0.7,0.7,41.40,41.40,41.40,30/12/2019 14:27:00,41.40,41.40,41.40
30/12/2019,19hh1,19hh1,0.7,0.7,49.00,49.00,49.02,30/12/2019 14:27:00,49.02,49.02,49.02
30/12/2019,19,19,1471.0,1628.8,40.80,51.40,41.40,29/12/2019 22:02:00,44.62,44.21,44.62
30/12/2019,18hh2,18hh2,0.0,0.0,0.00,0.00,0.00,,36.89,36.89,0.00
30/12/2019,18hh1,18hh1,0.6,0.6,45.90,45.90,45.93,30/12/2019 14:27:00,45.93,45.93,45.93
30/12/2019,18,18,2129.0,1793.2,35.00,47.00,35.01,29/12/2019 21:05:00,41.41,38.79,41.41
30/12/2019,17hh2,17hh2,0.0,0.0,0.00,0.00,0.00,,31.73,31.73,0.00
30/12/2019,17hh1,17hh1,0.0,0.0,0.00,0.00,0.00,,38.09,38.09,0.00
30/12/2019,17,17,2699.0,1265.5,29.80,38.30,34.50,29/12/2019 22:01:00,34.91,32.74,34.91
30/12/2019,16hh2,16hh2,2.2,2.2,36.00,36.00,36.04,30/12/2019 12:05:00,36.04,36.04,36.04
30/12/2019,16hh1,16hh1,39.8,2.2,30.20,30.20,30.20,30/12/2019 12:05:00,30.20,30.20,30.20
30/12/2019,16,16,2481.4,1558.5,30.20,38.00,30.20,29/12/2019 22:00:00,34.49,33.26,34.49
30/12/2019,15hh2,15hh2,1.4,1.4,35.90,35.90,35.92,30/12/2019 12:05:00,35.92,35.92,35.92
30/12/2019,15hh1,15hh1,2.1,2.1,30.00,33.70,30.00,30/12/2019 09:01:00,31.23,30.00,31.23
30/12/2019,15,15,2495.3,1252.9,28.30,39.20,28.25,29/12/2019 22:00:00,34.72,33.62,34.72
30/12/2019,14hh2,14hh2,0.7,0.7,40.40,40.40,40.42,30/12/2019 11:40:00,40.42,40.42,40.42
30/12/2019,14hh1,14hh1,0.7,0.7,32.70,32.70,32.70,30/12/2019 11:40:00,32.70,32.70,32.70
30/12/2019,14,14,2450.1,1652.9,33.00,40.10,36.00,29/12/2019 22:02:00,36.78,36.83,36.78
30/12/2019,13hh2,13hh2,14.8,14.8,34.40,34.40,34.40,30/12/2019 11:50:00,34.40,34.40,34.40
30/12/2019,13hh1,13hh1,0.0,0.0,0.00,0.00,0.00,,44.24,44.24,0.00
30/12/2019,13,13,2031.2,1400.8,34.40,43.40,34.40,29/12/2019 22:00:00,39.32,39.44,39.32
30/12/2019,12hh2,12hh2,0.0,0.0,0.00,0.00,0.00,,41.31,41.31,0.00
30/12/2019,12hh1,12hh1,0.4,0.4,39.70,39.70,39.65,30/12/2019 10:31:00,39.65,39.65,39.65
30/12/2019,12,12,2516.6,2134.5,34.00,44.00,44.00,29/12/2019 21:05:00,40.48,40.42,40.48
30/12/2019,11hh2,11hh2,1.9,1.9,39.10,39.10,39.10,30/12/2019 10:11:00,39.10,39.10,39.10
30/12/2019,11hh1,11hh1,0.0,0.0,0.00,0.00,0.00,,45.40,45.40,0.00
30/12/2019,11,11,1735.0,1231.9,35.50,45.00,42.00,29/12/2019 22:02:00,42.25,42.09,42.25
30/12/2019,10hh2,10hh2,0.0,0.0,0.00,0.00,0.00,,44.55,44.55,0.00
30/12/2019,10hh1,10hh1,0.0,0.0,0.00,0.00,0.00,,44.55,44.55,0.00
30/12/2019,10,10,1767.7,1244.5,37.50,50.00,46.01,29/12/2019 21:14:00,44.55,44.60,44.55
30/12/2019,9hh2,9hh2,0.0,0.0,0.00,0.00,0.00,,44.03,44.03,0.00
30/12/2019,9hh1,9hh1,0.0,0.0,0.00,0.00,0.00,,44.03,44.03,0.00
30/12/2019,9,9,1845.3,849.8,40.60,59.00,58.99,29/12/2019 22:04:00,44.03,43.85,44.03
30/12/2019,8hh2,8hh2,0.0,0.0,0.00,0.00,0.00,,39.53,39.53,0.00
30/12/2019,8hh1,8hh1,0.0,0.0,0.00,0.00,0.00,,39.53,39.53,0.00
30/12/2019,8,8,1959.1,1213.8,33.00,43.10,40.00,29/12/2019 22:03:00,39.53,40.74,39.53
30/12/2019,7hh2,7hh2,0.0,0.0,0.00,0.00,0.00,,34.52,34.52,0.00
30/12/2019,7hh1,7hh1,0.0,0.0,0.00,0.00,0.00,,34.52,34.52,0.00
30/12/2019,7,7,1773.0,783.5,30.00,36.80,34.74,29/12/2019 22:04:00,34.52,35.02,34.52
30/12/2019,6hh2,6hh2,0.0,0.0,0.00,0.00,0.00,,33.50,33.50,0.00
30/12/2019,6hh1,6hh1,0.0,0.0,0.00,0.00,0.00,,20.06,20.06,0.00
30/12/2019,6,6,879.5,348.3,22.00,29.90,25.19,29/12/2019 23:53:00,26.78,27.51,26.78
30/12/2019,5hh2,5hh2,0.0,0.0,0.00,0.00,0.00,,22.02,22.02,0.00
30/12/2019,5hh1,5hh1,0.0,0.0,0.00,0.00,0.00,,22.02,22.02,0.00
30/12/2019,5,5,814.6,856.0,18.30,26.30,23.66,29/12/2019 22:35:00,22.02,22.07,22.02
30/12/2019,4hh2,4hh2,0.0,0.0,0.00,0.00,0.00,,21.19,21.19,0.00
30/12/2019,4hh1,4hh1,0.0,0.0,0.00,0.00,0.00,,21.19,21.19,0.00
30/12/2019,4,4,967.2,894.0,16.70,24.70,21.00,29/12/2019 22:35:00,21.19,20.97,21.19
30/12/2019,3hh2,3hh2,0.0,0.0,0.00,0.00,0.00,,25.99,25.99,0.00
30/12/2019,3hh1,3hh1,0.0,0.0,0.00,0.00,0.00,,25.99,25.99,0.00
30/12/2019,3,3,551.7,408.4,22.50,50.00,50.00,29/12/2019 22:21:00,25.99,26.03,25.99
30/12/2019,2hh2,2hh2,0.0,0.0,0.00,0.00,0.00,,26.63,26.63,0.00
30/12/2019,2hh1,2hh1,0.0,0.0,0.00,0.00,0.00,,26.63,26.63,0.00
30/12/2019,2,2,582.4,388.3,23.60,30.00,30.00,29/12/2019 22:07:00,26.63,26.63,26.63
30/12/2019,1hh2,1hh2,0.0,0.0,0.00,0.00,0.00,,26.36,26.36,0.00
30/12/2019,1hh1,1hh1,0.0,0.0,0.00,0.00,0.00,,29.50,29.50,0.00
30/12/2019,1,1,606.8,307.9,25.00,30.60,26.10,29/12/2019 22:08:00,27.93,27.93,27.93
29/12/2019,24hh2,24hh2,0.0,0.0,0.00,0.00,0.00,,32.70,32.70,0.00
29/12/2019,24hh1,24hh1,0.0,0.0,0.00,0.00,0.00,,35.40,35.40,0.00
29/12/2019,24,24,1183.2,1109.0,28.40,37.00,28.35,29/12/2019 08:42:00,34.05,34.96,34.05
29/12/2019,23hh2,23hh2,0.0,0.0,0.00,0.00,0.00,,37.72,37.72,0.00
29/12/2019,23hh1,23hh1,25.0,0.1,34.50,49.00,48.99,29/12/2019 17:55:00,34.56,48.99,34.56
29/12/2019,23,23,2112.9,2388.7,33.60,41.00,40.14,28/12/2019 22:08:00,36.14,39.61,36.14
29/12/2019,22hh2,22hh2,0.0,0.0,0.00,0.00,0.00,,31.50,31.50,0.00
29/12/2019,22hh1,22hh1,0.0,0.0,0.00,0.00,0.00,,43.12,43.12,0.00
29/12/2019,22,22,965.7,996.5,36.00,40.20,38.80,29/12/2019 13:51:00,37.31,37.36,37.31
29/12/2019,21hh2,21hh2,0.0,0.0,0.00,0.00,0.00,,43.58,43.58,0.00
29/12/2019,21hh1,21hh1,0.0,0.0,0.00,0.00,0.00,,38.54,38.54,0.00
29/12/2019,21,21,1323.4,1074.7,38.00,45.00,44.99,29/12/2019 02:10:00,41.06,40.74,41.06
29/12/2019,20hh2,20hh2,0.0,0.0,0.00,0.00,0.00,,43.39,43.39,0.00
29/12/2019,20hh1,20hh1,0.0,0.0,0.00,0.00,0.00,,43.39,43.39,0.00
29/12/2019,20,20,1104.5,1275.7,41.50,46.90,42.60,29/12/2019 02:34:00,43.39,42.97,43.39
29/12/2019,19hh2,19hh2,0.0,0.0,0.00,0.00,0.00,,45.42,45.42,0.00
29/12/2019,19hh1,19hh1,0.0,0.0,0.00,0.00,0.00,,41.30,41.30,0.00
29/12/2019,19,19,1100.4,1326.1,40.00,46.30,40.10,28/12/2019 22:04:00,43.36,43.06,43.36
29/12/2019,18hh2,18hh2,0.0,0.0,0.00,0.00,0.00,,41.45,41.45,0.00
29/12/2019,18hh1,18hh1,0.0,0.0,0.00,0.00,0.00,,41.45,41.45,0.00
29/12/2019,18,18,1019.8,1281.3,38.90,44.00,40.12,28/12/2019 22:03:00,41.45,41.91,41.45
29/12/2019,17hh2,17hh2,0.0,0.0,0.00,0.00,0.00,,43.63,43.63,0.00
29/12/2019,17hh1,17hh1,0.0,0.0,0.00,0.00,0.00,,28.01,28.01,0.00
29/12/2019,17,17,1872.5,925.5,32.40,40.00,40.00,28/12/2019 22:13:00,35.82,36.50,35.82
29/12/2019,16hh2,16hh2,0.0,0.0,0.00,0.00,0.00,,32.60,32.60,0.00
29/12/2019,16hh1,16hh1,0.0,0.0,0.00,0.00,0.00,,32.60,32.60,0.00
29/12/2019,16,16,1794.5,955.8,29.30,37.30,35.80,28/12/2019 22:13:00,32.60,32.63,32.60
29/12/2019,15hh2,15hh2,0.0,0.0,0.00,0.00,0.00,,32.87,32.87,0.00
29/12/2019,15hh1,15hh1,0.0,0.0,0.00,0.00,0.00,,32.87,32.87,0.00
29/12/2019,15,15,1509.9,1370.5,30.80,35.50,33.17,28/12/2019 22:11:00,32.87,32.58,32.87
29/12/2019,14hh2,14hh2,0.0,0.0,0.00,0.00,0.00,,32.52,32.52,0.00
29/12/2019,14hh1,14hh1,0.0,0.0,0.00,0.00,0.00,,32.52,32.52,0.00
29/12/2019,14,14,1226.3,1218.4,30.60,35.80,34.00,29/12/2019 04:02:00,32.52,32.37,32.52
29/12/2019,13hh2,13hh2,0.0,0.0,0.00,0.00,0.00,,32.93,32.93,0.00
29/12/2019,13hh1,13hh1,0.0,0.0,0.00,0.00,0.00,,32.93,32.93,0.00
29/12/2019,13,13,1520.8,1180.9,29.20,36.40,29.52,28/12/2019 23:46:00,32.93,32.93,32.93
29/12/2019,12hh2,12hh2,0.0,0.0,0.00,0.00,0.00,,33.07,33.07,0.00
29/12/2019,12hh1,12hh1,0.0,0.0,0.00,0.00,0.00,,33.07,33.07,0.00
29/12/2019,12,12,1152.4,1067.9,30.70,35.00,31.53,29/12/2019 02:21:00,33.07,33.35,33.07
29/12/2019,11hh2,11hh2,0.0,0.0,0.00,0.00,0.00,,34.01,34.01,0.00
29/12/2019,11hh1,11hh1,0.0,0.0,0.00,0.00,0.00,,34.01,34.01,0.00
29/12/2019,11,11,945.0,1093.2,31.00,38.80,36.69,28/12/2019 22:08:00,34.01,33.69,34.01
29/12/2019,10hh2,10hh2,0.0,0.0,0.00,0.00,0.00,,31.76,31.76,0.00
29/12/2019,10hh1,10hh1,0.0,0.0,0.00,0.00,0.00,,31.76,31.76,0.00
29/12/2019,10,10,959.6,565.2,29.00,37.30,35.04,28/12/2019 22:03:00,31.76,31.50,31.76
29/12/2019,9hh2,9hh2,0.0,0.0,0.00,0.00,0.00,,28.87,28.87,0.00
29/12/2019,9hh1,9hh1,0.0,0.0,0.00,0.00,0.00,,28.87,28.87,0.00
29/12/2019,9,9,1250.8,442.0,26.40,37.00,36.99,28/12/2019 22:02:00,28.87,28.55,28.87
29/12/2019,8hh2,8hh2,0.8,0.8,30.10,30.10,30.10,29/12/2019 06:59:00,30.10,30.10,30.10
29/12/2019,8hh1,8hh1,0.0,0.0,0.00,0.00,0.00,,25.54,25.54,0.00
29/12/2019,8,8,939.9,465.5,23.10,30.80,23.10,28/12/2019 21:54:00,27.82,28.25,27.82
29/12/2019,7hh2,7hh2,0.0,0.0,0.00,0.00,0.00,,26.52,26.52,0.00
29/12/2019,7hh1,7hh1,0.0,0.0,0.00,0.00,0.00,,26.52,26.52,0.00
29/12/2019,7,7,506.9,664.8,23.10,30.20,29.99,28/12/2019 21:54:00,26.52,27.11,26.52
29/12/2019,6hh2,6hh2,0.0,0.0,0.00,0.00,0.00,,24.76,24.76,0.00
29/12/2019,6hh1,6hh1,0.0,0.0,0.00,0.00,0.00,,24.76,24.76,0.00
29/12/2019,6,6,364.6,621.5,20.80,27.20,25.60,28/12/2019 21:53:00,24.76,25.07,24.76
29/12/2019,5hh2,5hh2,0.0,0.0,0.00,0.00,0.00,,23.88,23.88,0.00
29/12/2019,5hh1,5hh1,0.0,0.0,0.00,0.00,0.00,,23.88,23.88,0.00
29/12/2019,5,5,483.8,629.6,20.00,27.50,26.00,28/12/2019 21:55:00,23.88,24.21,23.88
29/12/2019,4hh2,4hh2,0.0,0.0,0.00,0.00,0.00,,25.16,25.16,0.00
29/12/2019,4hh1,4hh1,0.0,0.0,0.00,0.00,0.00,,25.16,25.16,0.00
29/12/2019,4,4,364.4,770.9,21.20,29.50,29.00,28/12/2019 21:55:00,25.16,25.45,25.16
29/12/2019,3hh2,3hh2,0.0,0.0,0.00,0.00,0.00,,26.34,26.34,0.00
29/12/2019,3hh1,3hh1,0.0,0.0,0.00,0.00,0.00,,26.34,26.34,0.00
29/12/2019,3,3,536.2,1309.8,23.50,31.90,30.96,28/12/2019 21:56:00,26.34,26.29,26.34
29/12/2019,2hh2,2hh2,0.0,0.0,0.00,0.00,0.00,,27.63,27.63,0.00
29/12/2019,2hh1,2hh1,0.0,0.0,0.00,0.00,0.00,,27.63,27.63,0.00
29/12/2019,2,2,391.0,928.9,24.10,31.00,26.50,28/12/2019 22:06:00,27.63,27.63,27.63
29/12/2019,1hh2,1hh2,0.0,0.0,0.00,0.00,0.00,,28.89,28.89,0.00
29/12/2019,1hh1,1hh1,0.0,0.0,0.00,0.00,0.00,,28.89,28.89,0.00
29/12/2019,1,1,406.2,522.7,27.30,32.70,27.25,28/12/2019 21:29:00,28.89,29.00,28.89
28/12/2019,24hh2,24hh2,0.0,0.0,0.00,0.00,0.00,,27.60,27.60,0.00
28/12/2019,24hh1,24hh1,0.0,0.0,0.00,0.00,0.00,,35.23,36.79,0.00
28/12/2019,24,24,553.5,1377.4,30.00,36.00,30.20,28/12/2019 08:59:00,32.78,33.56,32.78
28/12/2019,23hh2,23hh2,0.0,0.0,0.00,0.00,0.00,,31.57,31.57,0.00
28/12/2019,23hh1,23hh1,0.0,0.0,0.00,0.00,0.00,,38.78,38.50,0.00
28/12/2019,23,23,320.0,1481.0,32.60,37.70,35.00,27/12/2019 22:01:00,35.46,34.20,35.46
28/12/2019,22hh2,22hh2,0.0,0.0,0.00,0.00,0.00,,33.00,33.00,0.00
28/12/2019,22hh1,22hh1,0.0,0.0,0.00,0.00,0.00,,40.39,40.39,0.00
28/12/2019,22,22,468.3,1607.1,32.80,42.30,35.48,27/12/2019 22:00:00,35.82,34.76,35.82
28/12/2019,21hh2,21hh2,0.0,0.0,0.00,0.00,0.00,,40.40,40.40,0.00
28/12/2019,21hh1,21hh1,0.0,0.0,0.00,0.00,0.00,,40.40,40.40,0.00
28/12/2019,21,21,834.2,1706.2,36.90,47.60,37.36,27/12/2019 22:01:00,40.70,39.60,40.70
28/12/2019,20hh2,20hh2,7.5,8.2,44.10,48.30,44.10,28/12/2019 17:08:00,46.28,46.28,46.28
28/12/2019,20hh1,20hh1,28.2,52.7,38.30,49.50,38.30,28/12/2019 17:04:00,43.66,49.48,43.66
28/12/2019,20,20,603.7,1295.3,38.10,50.40,38.08,27/12/2019 22:01:00,46.60,46.82,46.60
28/12/2019,19hh2,19hh2,0.0,0.0,0.00,0.00,0.00,,44.68,44.68,0.00
28/12/2019,19hh1,19hh1,0.0,0.0,0.00,0.00,0.00,,48.80,48.80,0.00
28/12/2019,19,19,419.3,1282.6,44.40,49.60,48.55,27/12/2019 22:01:00,46.74,47.00,46.74
28/12/2019,18hh2,18hh2,0.0,0.0,0.00,0.00,0.00,,42.17,42.17,0.00
28/12/2019,18hh1,18hh1,0.0,0.0,0.00,0.00,0.00,,42.17,42.17,0.00
28/12/2019,18,18,1040.5,756.8,39.60,45.90,45.00,28/12/2019 00:52:00,42.17,42.20,42.17
28/12/2019,17hh2,17hh2,0.0,0.0,0.00,0.00,0.00,,33.51,33.51,0.00
28/12/2019,17hh1,17hh1,0.0,0.0,0.00,0.00,0.00,,33.51,33.51,0.00
28/12/2019,17,17,289.5,301.4,32.00,36.10,35.20,27/12/2019 22:08:00,33.51,34.46,33.51
28/12/2019,16hh2,16hh2,0.0,0.0,0.00,0.00,0.00,,30.23,30.23,0.00
28/12/2019,16hh1,16hh1,0.0,0.0,0.00,0.00,0.00,,30.23,30.23,0.00
28/12/2019,16,16,585.7,429.5,27.30,34.10,28.50,27/12/2019 22:08:00,30.23,30.60,30.23
28/12/2019,15hh2,15hh2,0.6,5.7,25.50,35.50,35.50,28/12/2019 10:21:00,35.15,32.17,35.15
28/12/2019,15hh1,15hh1,0.0,0.0,0.00,0.00,0.00,,30.59,30.59,0.00
28/12/2019,15,15,724.4,578.3,30.60,34.90,34.90,28/12/2019 03:23:00,32.87,33.05,32.87
28/12/2019,14hh2,14hh2,0.0,0.0,0.00,0.00,0.00,,33.12,33.12,0.00
28/12/2019,14hh1,14hh1,0.0,0.0,0.00,0.00,0.00,,33.12,33.12,0.00
28/12/2019,14,14,462.2,331.5,32.10,35.00,32.54,28/12/2019 01:53:00,33.12,32.79,33.12
28/12/2019,13hh2,13hh2,0.0,0.0,0.00,0.00,0.00,,34.52,34.52,0.00
28/12/2019,13hh1,13hh1,0.0,0.0,0.00,0.00,0.00,,34.52,34.52,0.00
28/12/2019,13,13,770.9,586.1,30.10,36.70,33.15,27/12/2019 22:01:00,34.52,34.49,34.52
28/12/2019,12hh2,12hh2,0.0,0.0,0.00,0.00,0.00,,34.47,34.47,0.00
28/12/2019,12hh1,12hh1,0.0,0.0,0.00,0.00,0.00,,34.47,34.47,0.00
28/12/2019,12,12,495.9,1134.2,32.50,38.40,32.45,27/12/2019 22:06:00,34.47,34.21,34.47
28/12/2019,11hh2,11hh2,0.0,0.0,0.00,0.00,0.00,,35.49,35.49,0.00
28/12/2019,11hh1,11hh1,0.0,0.0,0.00,0.00,0.00,,40.60,40.60,0.00
